name,code
State Bank of India,SBIN
Bank of Baroda,BARB
Punjab National Bank,PUNB
Canara Bank,CANB
Bank of India,BKID
Union Bank of India,UBIN
Central Bank of India,CBIN
Indian Bank,IDIB
Indian Overseas Bank,IOBA
UCO Bank,UCBA
Punjab and Sind Bank,PSIB
HDFC Bank,HDFC
ICICI Bank,ICIC
Axis Bank,AXIS
Kotak Mahindra Bank,KKBK
IndusInd Bank,INDB
Yes Bank,YESB
IDFC First Bank,IDFB
RBL Bank,RATN
DBS Bank,DBSS
Federal Bank,FDRL
Citibank,CITI
HSBC,HSBC
Standard Chartered Bank,SCBL
Bank of America,BOFA
