date,title,country,mandatory
January 01 2022,New Year's Day,IN,0
January 09 2022,Guru Govind Singh Jayanti,IN,0
January 13 2022,Lohri,IN,0
January 14 2022,Pongal/Makar Sankranti,IN,0
January 26 2022,Republic Day,IN,1
February 05 2022,Vasant Panchami,IN,0
February 15 2022,Hazarat Ali's Birthday,IN,0
February 16 2022,Guru Ravidas Jayanti,IN,0
February 19 2022,Shivaji Jayanti,IN,0
February 26 2022,Maharishi Dayanand Saraswati Jayanti,IN,0
March 01 2022,Maha Shivaratri/Shivaratri,IN,0
March 17 2022,Holika Dahana,IN,0
March 18 2022,Holi/Dolyatra,IN,0
April 02 2022,Chaitra Sukhladi/Ugadi/Gudi Padwa,IN,0
April 10 2022,Rama Navami,IN,0
April 14 2022,Mahavir Jayanti/Vaisakhi/Mesadi/Ambedkar Jayanti,IN,0
April 15 2022,Good Friday,IN,0
April 17 2022,Easter Day,IN,0
April 29 2022,Jamat Ul-Vida,IN,0
May 01 2022,International Worker's Day,IN,0
May 03 2022,Ramzan Id/Eid-ul-Fitar,IN,0
May 09 2022,Birthday of Rabindranath,IN,0
May 16 2022,Buddha Purnima/Vesak,IN,0
July 01 2022,Rath Yatra,IN,0
July 10 2022,Bakrid/Eid ul-Adha,IN,0
July 13 2022,Guru Purnima,IN,0
August 09 2022,Muharram/Ashura,IN,0
August 11 2022,Raksha Bandhan (Rakhi),IN,0
August 15 2022,Independence Day,IN,1
August 16 2022,Parsi New Year,IN,0
August 19 2022,Janmashtami,IN,0
August 31 2022,Ganesh Chaturthi/Vinayaka Chaturthi,IN,0
September 08 2022,Onam,IN,0
October 02 2022,Mahatma Gandhi Jayanti/Maha Saptami,IN,1
October 03 2022,Maha Ashtami,IN,0
October 04 2022,Maha Navami,IN,0
October 05 2022,Dussehra,IN,0
October 09 2022,Maharishi Valmiki Jayanti/Milad un-Nabi,IN,0
October 13 2022,Karaka Chaturthi (Karva Chauth),IN,0
October 24 2022,Naraka Chaturdasi/Deepavali,IN,0
October 25 2022,Govardhan Puja,IN,0
October 26 2022,Bhai Duj,IN,0
October 30 2022,Chhat Puja (Pratihar Sashthi/Surya Sashthi),IN,0
November 08 2022,Guru Nanak Jayanti,IN,0
November 24 2022,Guru Tegh Bahadur's Martyrdom Day,IN,0
December 24 2022,Christmas Eve,IN,0
December 25 2022,Christmas,IN,0
December 29 2022,Guru Govind Singh Jayanti,IN,0
December 31 2022,New Year's Eve,IN,0
January 01 2023,New Year's Day,IN,0
January 14 2023,Makar Sankranti/Lohri,IN,0
January 15 2023,Pongal,IN,0
January 26 2023,Republic Day/Vasant Panchami,IN,1
February 05 2023,Guru Ravidas Jayanti/Hazarat Ali's Birthday,IN,0
February 15 2023,Maharishi Dayanand Saraswati Jayanti,IN,0
February 18 2023,Maha Shivaratri/Shivaratri,IN,0
February 19 2023,Shivaji Jayanti,IN,0
March 07 2023,Dolyatra/Holika Dahana,IN,0
March 08 2023,Holi,IN,0
March 21 2023,Chaitra Sukhladi/Ugadi/Gudi Padwa,IN,0
March 24 2023,Ramadan Start,IN,0
March 30 2023,Rama Navami,IN,0
April 04 2023,Mahavir Jayanti,IN,0
April 07 2023,Good Friday,IN,0
April 09 2023,Easter Day,IN,0
April 14 2023,Vaisakhi/Ambedkar Jayanti,IN,0
April 15 2023,Mesadi / Vaisakhadi,IN,0
April 21 2023,Jamat Ul-Vida (Tentative Date),IN,0
April 22 2023,Ramzan Id/Eid-ul-Fitar,IN,0
May 01 2023,International Worker's Day,IN,0
