university,college
"Acharya Nagarjuna University, Guntur ",Aazad College of Education
"Acharya Nagarjuna University, Guntur ",Abhinav Institute of Management & Technology
"Acharya Nagarjuna University, Guntur ",Abhyudaya Mahila Degree College
"Acharya Nagarjuna University, Guntur ",A.B.M. College
"Acharya Nagarjuna University, Guntur ",A.B.R College of Education
"Acharya Nagarjuna University, Guntur ",A.C.College (Day)
"Acharya Nagarjuna University, Guntur ",A.C.College of Law
"Acharya Nagarjuna University, Guntur ",A.C.Evening College
"Acharya Nagarjuna University, Guntur ",Acharya N.G.Ranga College of Education
"Acharya Nagarjuna University, Guntur ",Adarsa College of Education
"Acharya Nagarjuna University, Guntur ",Adarsa Degree College for Women
"Acharya Nagarjuna University, Guntur ",A.G.K.M.College
"Acharya Nagarjuna University, Guntur ",A.L.College of Education
"Acharya Nagarjuna University, Guntur ",Ali College of Education
"Acharya Nagarjuna University, Guntur ",AL Momin College of Education
"Acharya Nagarjuna University, Guntur ",Alpha College of Education
"Acharya Nagarjuna University, Guntur ","Alpha College of Education, Kanigiri "
"Acharya Nagarjuna University, Guntur ",Alpha Degree College
"Acharya Nagarjuna University, Guntur ",Aman Showkath B.Ed College
"Acharya Nagarjuna University, Guntur ",A.M.G.College of Education
"Acharya Nagarjuna University, Guntur ",A.M.G.Degree College for Women
"Acharya Nagarjuna University, Guntur ",A.M Reddy College of Education
"Acharya Nagarjuna University, Guntur ",A.M. Reddy Memorial College of Pharmacy
"Acharya Nagarjuna University, Guntur ",Amrutha College of Education
"Acharya Nagarjuna University, Guntur ",Amrutha Degree College
"Acharya Nagarjuna University, Guntur ",Andhra Kesari College of Education
"Acharya Nagarjuna University, Guntur ",Andhra Kesari Vidya Kendram Degree College
"Acharya Nagarjuna University, Guntur ",Andhra Muslim College
"Acharya Nagarjuna University, Guntur ",Andhra Muslim College of Education
"Acharya Nagarjuna University, Guntur ",Anitha Venkateswara College of Eduation
"Acharya Nagarjuna University, Guntur ",Annabattuni Satyanarayana Degree College
"Acharya Nagarjuna University, Guntur ",Anniebesant College of Education
"Acharya Nagarjuna University, Guntur ",A.P.Residential Degree College
"Acharya Nagarjuna University, Guntur ",Asha College of Education
"Acharya Nagarjuna University, Guntur ",A.S.M & A.W. D Women's Degree College
"Acharya Nagarjuna University, Guntur ","A.S.N Pharmacy College, Tenali "
"Acharya Nagarjuna University, Guntur ",B.A & K.R College of Education
"Acharya Nagarjuna University, Guntur ",B.A & K.R Degree College
"Acharya Nagarjuna University, Guntur ",Balaji Degree College
"Acharya Nagarjuna University, Guntur ",Bapatla College of Arts & Science
"Acharya Nagarjuna University, Guntur ",Bapatla Engineering College
"Acharya Nagarjuna University, Guntur ",Bapatla Womens Engineering College
"Acharya Nagarjuna University, Guntur ",Bapuji College of Education
"Acharya Nagarjuna University, Guntur ",B.B.H Degree College
"Acharya Nagarjuna University, Guntur ","B.G Degree College, Sattenapalli "
"Acharya Nagarjuna University, Guntur ",Bharathi Degree College
"Acharya Nagarjuna University, Guntur ",Bhashyam College of Education
"Acharya Nagarjuna University, Guntur ",B.H.H Degree College for Women
"Acharya Nagarjuna University, Guntur ","B.M.Degree College, P.Dornala "
"Acharya Nagarjuna University, Guntur ",BMRM Jhansi B.Ed College
"Acharya Nagarjuna University, Guntur ",B.R College of Education
"Acharya Nagarjuna University, Guntur ",B.S.S.B College
"Acharya Nagarjuna University, Guntur ",B.V.S.P.M Degree College
"Acharya Nagarjuna University, Guntur ",Career Degree College
"Acharya Nagarjuna University, Guntur ","Chaitanya Bharathi Degree College, Chirala "
"Acharya Nagarjuna University, Guntur ",Chaitanya College of Education
"Acharya Nagarjuna University, Guntur ","Chakradhar Degree College, Macherla "
"Acharya Nagarjuna University, Guntur ","Chalapathi Degree College, Lam "
"Acharya Nagarjuna University, Guntur ","Chalapathi Institute of Engineering & Technology, Lam "
"Acharya Nagarjuna University, Guntur ","Chalapathi Institute of Pharmaceutical Sciences, Lam "
"Acharya Nagarjuna University, Guntur ",Chebrolu Hanumaiah College of Pharmaceutical Sciences
"Acharya Nagarjuna University, Guntur ",Chegireddy Linga Reddy Instt of Management
"Acharya Nagarjuna University, Guntur ","Chirala College of PG Studies, Chirala "
"Acharya Nagarjuna University, Guntur ",Chiristian Women's College
"Acharya Nagarjuna University, Guntur ",Christu Jayanthi Jubilee College (P.G.)
"Acharya Nagarjuna University, Guntur ",C.I.L.For Rural Management
"Acharya Nagarjuna University, Guntur ",C.R. College
"Acharya Nagarjuna University, Guntur ",C.S.R. Sarma College
"Acharya Nagarjuna University, Guntur ",D.C.R.M Degree College
"Acharya Nagarjuna University, Guntur ","D.C.R.M P.G College, MBA "
"Acharya Nagarjuna University, Guntur ",Devathi Venkata Subbaiah Degree College
"Acharya Nagarjuna University, Guntur ",Devathi Venkata Subbiah College of Education
"Acharya Nagarjuna University, Guntur ",Don Bosco College (P.G.)
"Acharya Nagarjuna University, Guntur ",Dr. B.R.Ambedkar Centenary Degree College
"Acharya Nagarjuna University, Guntur ",Dr.Homi Jahangir Baba Degree College
"Acharya Nagarjuna University, Guntur ",Dr. Jayapradamba Degree College
"Acharya Nagarjuna University, Guntur ",Dr. K.R.R.M. Degree College
"Acharya Nagarjuna University, Guntur ",Dr. K.S.P.R College of Education
"Acharya Nagarjuna University, Guntur ",Dr.K.V.K. Sanskrit College
"Acharya Nagarjuna University, Guntur ",D.R.N.S.C.V.S. College
"Acharya Nagarjuna University, Guntur ",Dr. Samuel George College of Pharmaceutical Science
"Acharya Nagarjuna University, Guntur ",Dr. Zakir Hussain College of Education
"Acharya Nagarjuna University, Guntur ","D.S.Govt. Degree College for Women, Ongole "
"Acharya Nagarjuna University, Guntur ",Erigineni Tirupati Naidu & Lakshmamma Degree College
"Acharya Nagarjuna University, Guntur ",Fatima College of Education
"Acharya Nagarjuna University, Guntur ",G.C.K.V.N. Degree College
"Acharya Nagarjuna University, Guntur ",G.C & Y P N Degree College
"Acharya Nagarjuna University, Guntur ",Geetham Degree College
"Acharya Nagarjuna University, Guntur ","Geethanjali Degree College, Darsi "
"Acharya Nagarjuna University, Guntur ",Geethika B.Ed College
"Acharya Nagarjuna University, Guntur ",Goutham College of Education
"Acharya Nagarjuna University, Guntur ","Government Degree College, Cumbum "
"Acharya Nagarjuna University, Guntur ","Government Degree College, Yerragondapalem "
"Acharya Nagarjuna University, Guntur ","Govt. Degree College, Chebrolu "
"Acharya Nagarjuna University, Guntur ","Govt. Degree College for Women, Guntur "
"Acharya Nagarjuna University, Guntur ","Govt. Degree College, Kanigiri "
"Acharya Nagarjuna University, Guntur ","G.R.K Degree College, Maddipadu "
"Acharya Nagarjuna University, Guntur ",G.R.R. & T.P.R. Degree College
"Acharya Nagarjuna University, Guntur ",G.S.R. Degree College
"Acharya Nagarjuna University, Guntur ",G.V.& A.D.S.L. College of Education
"Acharya Nagarjuna University, Guntur ",G.V.R & S College of Education
"Acharya Nagarjuna University, Guntur ",G V R & S Degree College for Women
"Acharya Nagarjuna University, Guntur ",G.V.R.S Institute for Professional Studies
"Acharya Nagarjuna University, Guntur ",G.V.S.M. GOVT. Degree College
"Acharya Nagarjuna University, Guntur ",Hazarath Ameeruddin College of Education
"Acharya Nagarjuna University, Guntur ","Hindu College, Guntur "
"Acharya Nagarjuna University, Guntur ",Hindu College of Education
"Acharya Nagarjuna University, Guntur ","Hindu College of Management, Guntur "
"Acharya Nagarjuna University, Guntur ",Hindu College of Pharmacy
"Acharya Nagarjuna University, Guntur ",H.M.K.S. & M.G.S. Memorial College of Education
"Acharya Nagarjuna University, Guntur ",Ideal & S.K.C.M Degree College
"Acharya Nagarjuna University, Guntur ",Indira Priyadarsni Law College
"Acharya Nagarjuna University, Guntur ",J.C. College of Law
"Acharya Nagarjuna University, Guntur ",J.K.C. College
"Acharya Nagarjuna University, Guntur ",J.M.J. College for Women
"Acharya Nagarjuna University, Guntur ",J.R.R Navodaya Degree College
"Acharya Nagarjuna University, Guntur ",Kalikamba College of Education
"Acharya Nagarjuna University, Guntur ","Kalyani MCA College, Eethamukkala "
"Acharya Nagarjuna University, Guntur ",Kamala College of Education
"Acharya Nagarjuna University, Guntur ",Kamala Institute of Management Studies
"Acharya Nagarjuna University, Guntur ",Kasturibai College of Education
"Acharya Nagarjuna University, Guntur ",K Chandrakala College (P.G.)
"Acharya Nagarjuna University, Guntur ",K.C Reddy Institute of Pharmaceutical Sciences
"Acharya Nagarjuna University, Guntur ","KC Reddy PG College, Janamguntapalem "
"Acharya Nagarjuna University, Guntur ",K.L.N. Sanskrit College
"Acharya Nagarjuna University, Guntur ",K.L.R. Degree College
"Acharya Nagarjuna University, Guntur ",Konijeti Rosaiah Siva Lakshmi College
"Acharya Nagarjuna University, Guntur ",Krishnaveni Degree College
"Acharya Nagarjuna University, Guntur ","Krishnaveni Degree College, Vinukonda "
"Acharya Nagarjuna University, Guntur ",K R K Govt. Degree College
"Acharya Nagarjuna University, Guntur ",K.S.R & K.R.K College of Education
"Acharya Nagarjuna University, Guntur ","K.S.R.N. Degree College, Govada "
"Acharya Nagarjuna University, Guntur ","K.V.R., K.VR. & M.K.R College "
"Acharya Nagarjuna University, Guntur ",Lakshmi Narsimha College of Education
"Acharya Nagarjuna University, Guntur ",Magunta Subba Rami Reddy Degree College
"Acharya Nagarjuna University, Guntur ",Mahatma Gandhi College
"Acharya Nagarjuna University, Guntur ",Malineni Lakshmaiah B.Ed College
"Acharya Nagarjuna University, Guntur ",M.A.M College of Education
"Acharya Nagarjuna University, Guntur ","M.A.M College of Pharmacy, Narsaraopet "
"Acharya Nagarjuna University, Guntur ",Matrusri Oriental College
"Acharya Nagarjuna University, Guntur ",M.G College of Education
"Acharya Nagarjuna University, Guntur ","Mittapalli Lakshmaiah & Sons Degree College, Piduguralla "
"Acharya Nagarjuna University, Guntur ",M.L. College of MBA
"Acharya Nagarjuna University, Guntur ",M.L. College of Pharmacy
"Acharya Nagarjuna University, Guntur ","M.M.R Degree College, Macherla "
"Acharya Nagarjuna University, Guntur ",Modern Degree College
"Acharya Nagarjuna University, Guntur ",Morning Star College
"Acharya Nagarjuna University, Guntur ","Mother Theresa Womens Degree College, Karampudi "
"Acharya Nagarjuna University, Guntur ","M.S.R. Degree College, Bapatla "
"Acharya Nagarjuna University, Guntur ",M.V.G.R. Degree College
"Acharya Nagarjuna University, Guntur ","M.V.R Degree College, Karlapalem "
"Acharya Nagarjuna University, Guntur ",M.V.R.S. Viveka Degree College
"Acharya Nagarjuna University, Guntur ",Nagarjuna College of Education
"Acharya Nagarjuna University, Guntur ","Nagarjuna Institute of Management Studies, Chekurapadu "
"Acharya Nagarjuna University, Guntur ",Nalanda College of Education
"Acharya Nagarjuna University, Guntur ",National Minority Degree College
"Acharya Nagarjuna University, Guntur ",Navya Chaitanya College of Education
"Acharya Nagarjuna University, Guntur ",N.B.T & N V C College
"Acharya Nagarjuna University, Guntur ",New Era College of Education
"Acharya Nagarjuna University, Guntur ","Nirmala College of Pharmacy, Mangalagiri "
"Acharya Nagarjuna University, Guntur ",N.N.R. & C.L. Degree College
"Acharya Nagarjuna University, Guntur ",N.N.S. Vidya College of P.G. Studies
"Acharya Nagarjuna University, Guntur ",N.N.S Vidya Degree College
"Acharya Nagarjuna University, Guntur ",N.R.K & K.S.R Gupta College of Pharmacy
"Acharya Nagarjuna University, Guntur ",N.R.K. & K.S.R. Gupta Degree College
"Acharya Nagarjuna University, Guntur ",N.T.R Memorial Degree College
"Acharya Nagarjuna University, Guntur ",Omega College of Education
"Acharya Nagarjuna University, Guntur ","Palnadu College of Education, Narayanapuram "
"Acharya Nagarjuna University, Guntur ",P.B.N. College
"Acharya Nagarjuna University, Guntur ",Pedanandipadu College of Arts and Sciences
"Acharya Nagarjuna University, Guntur ",P.N.C.A Degree College
"Acharya Nagarjuna University, Guntur ",P.N.C & K.R. College
"Acharya Nagarjuna University, Guntur ",Prabhala Lakshminarayana Memorial Degree College
"Acharya Nagarjuna University, Guntur ","Prabhala PG College for Women, Nagarjuna Nagar "
"Acharya Nagarjuna University, Guntur ",Pratap College of Education
"Acharya Nagarjuna University, Guntur ",Prathiba Degree College
"Acharya Nagarjuna University, Guntur ","Pratibha Degree College, Pedanandipadu "
"Acharya Nagarjuna University, Guntur ",Priya Darisini Degree College
"Acharya Nagarjuna University, Guntur ",Priyadarsini Institute of Pharmaceutical Science
"Acharya Nagarjuna University, Guntur ",Priyanka College of Education
"Acharya Nagarjuna University, Guntur ",P.S.B. College of Education
"Acharya Nagarjuna University, Guntur ",Qis College of Education
"Acharya Nagarjuna University, Guntur ","Radha Degree College, Vinukonda "
"Acharya Nagarjuna University, Guntur ",Raghava Degree College - Ongole
"Acharya Nagarjuna University, Guntur ",Rahul Institute of Pharmaceutical Sciences & Research
"Acharya Nagarjuna University, Guntur ","Rahul Subramanyam Memorial Instt of Management Studies, Chirala "
"Acharya Nagarjuna University, Guntur ",Ravindra Bharathi College of Education
"Acharya Nagarjuna University, Guntur ",Repalle Christian College
"Acharya Nagarjuna University, Guntur ",Repalle Christian College of Education
"Acharya Nagarjuna University, Guntur ",R.V.R. & J.C. College of Engineering
"Acharya Nagarjuna University, Guntur ",R.V.R.R. College of Education
"Acharya Nagarjuna University, Guntur ",R.V.V.N. College
"Acharya Nagarjuna University, Guntur ",S.A.B.R. Govt. Degree College
"Acharya Nagarjuna University, Guntur ",Sadhana Degree College
"Acharya Nagarjuna University, Guntur ",Sadineni Chowdaraiah College of Arts & Science
"Acharya Nagarjuna University, Guntur ",Sai Chaitanya Degree College Giddalur
"Acharya Nagarjuna University, Guntur ",Sarada College of Pharmaceutical Sciences
"Acharya Nagarjuna University, Guntur ","Sarada Degree College, Medarametla "
"Acharya Nagarjuna University, Guntur ","Saraswathi College of Arts & Science, Dachepalli "
"Acharya Nagarjuna University, Guntur ","S.B.G. Degree College, Sattenapalli "
"Acharya Nagarjuna University, Guntur ",S.B.M.S. Degree College
"Acharya Nagarjuna University, Guntur ",S.B.Swamy Sanskrit College
"Acharya Nagarjuna University, Guntur ","S.B.V.S.R College of Education, Cheemakurthi "
"Acharya Nagarjuna University, Guntur ",Seven Hills College of Education
"Acharya Nagarjuna University, Guntur ",S.G.H.R. & M.C.M.R.College
"Acharya Nagarjuna University, Guntur ","S.G.K Govt. Degree College, Vinukonda "
"Acharya Nagarjuna University, Guntur ",S.G.K. Oriental College
