pincode,officename,divisionname,statename
504273,Achalapur,Adilabad,Telangana
504293,Ada,Adilabad,Telangana
504307,Adegaon,Adilabad,Telangana
504001,Adilabad Collectorate,Adilabad,Telangana
504001,Adilabad,Adilabad,Telangana
504251,Agm Colony,Adilabad,Telangana
504273,Ainam,Adilabad,Telangana
504251,Aknepalli,Adilabad,Telangana
504309,Akoli,Adilabad,Telangana
504201,Alegaon,Adilabad,Telangana
504110,Aloor,Adilabad,Telangana
504202,Ambaripet,Adilabad,Telangana
504296,Andavelli,Adilabad,Telangana
504231,Andugulpet,Adilabad,Telangana
504109,Andukur,Adilabad,Telangana
504201,Angarajpally,Adilabad,Telangana
504299,Ankhoda,Adilabad,Telangana
504002,Ankoli,Adilabad,Telangana
504201,Annaram,Adilabad,Telangana
504204,Arepally,Adilabad,Telangana
504312,Arli (T),Adilabad,Telangana
504313,Ashepally,Adilabad,Telangana
504101,Ashta,Adilabad,Telangana
504293,Asifabad,Adilabad,Telangana
504201,Asnad,Adilabad,Telangana
504204,Awadam,Adilabad,Telangana
504293,Babapur,Adilabad,Telangana
504299,Babasagar,Adilabad,Telangana
504205,Badampally,Adilabad,Telangana
504203,Badankurthy,Adilabad,Telangana
504295,Bambara,Adilabad,Telangana
504106,Bangalpet,Adilabad,Telangana
504306,Bansapalli,Adilabad,Telangana
504299,Bapur,Adilabad,Telangana
504296,Bareguda,Adilabad,Telangana
504101,Basar (Adilabad),Adilabad,Telangana
504304,Bazar Hathnur,Adilabad,Telangana
504203,Beernandi,Adilabad,Telangana
504299,Bejjur,Adilabad,Telangana
504309,Bela,Adilabad,Telangana
504202,Bellalbadi,Adilabad,Telangana
504251,Bellampalli R.S.,Adilabad,Telangana
504251,Bellampalli,Adilabad,Telangana
504103,Beltharoda,Adilabad,Telangana
504001,Bhagyanagar (Adilabad),Adilabad,Telangana
504103,Bhainsa (Adilabad),Adilabad,Telangana
504308,Bharampur,Adilabad,Telangana
504204,Bheemaram,Adilabad,Telangana
504311,Bheempur,Adilabad,Telangana
504002,Bheemsari,Adilabad,Telangana
504273,Bhimini,Adilabad,Telangana
504103,Bholsa,Adilabad,Telangana
504103,Bhosi,Adilabad,Telangana
504001,Bhuktapur,Adilabad,Telangana
504304,Bhutai,Adilabad,Telangana
504273,Bibra,Adilabad,Telangana
504101,Bidrelli,Adilabad,Telangana
504311,Birsaipet,Adilabad,Telangana
504306,Birvelli,Adilabad,Telangana
504304,Boath,Adilabad,Telangana
504273,Bodepalli,Adilabad,Telangana
504101,Boregaon,Adilabad,Telangana
504307,Boregaon,Adilabad,Telangana
504110,Borigaon,Adilabad,Telangana
504272,Boyapalli,Adilabad,Telangana
504101,Brahmangaon,Adilabad,Telangana
504251,Budakalan,Adilabad,Telangana
504251,Budakurd,Adilabad,Telangana
504323,Buggaram,Adilabad,Telangana
504293,Burguda,Adilabad,Telangana
504272,Chakepalli,Adilabad,Telangana
504002,Chanda (T),Adilabad,Telangana
504215,Chandaram,Adilabad,Telangana
504311,Chandur,Adilabad,Telangana
504309,Chaprala,Adilabad,Telangana
504103,Chata,Adilabad,Telangana
504296,Chedwai,Adilabad,Telangana
504346,Chichdhari Khanapur,Adilabad,Telangana
504103,Chichondi,Adilabad,Telangana
504110,Chincholi (B),Adilabad,Telangana
504002,Chinchughat,Adilabad,Telangana
504201,Chinnoor,Adilabad,Telangana
504296,Chintaguda,Adilabad,Telangana
504205,Chintaguda,Adilabad,Telangana
504299,Chintakunta,Adilabad,Telangana
504299,Chintalamanepalli,Adilabad,Telangana
504304,Chintalbori,Adilabad,Telangana
504310,Chintalchanda,Adilabad,Telangana
504294,Chirrakunta,Adilabad,Telangana
504306,Chityal,Adilabad,Telangana
504202,Chityal,Adilabad,Telangana
504103,Chondi,Adilabad,Telangana
504313,Chorpalli,Adilabad,Telangana
504302,Coal Chemical Complex,Adilabad,Telangana
504002,Cotton Market,Adilabad,Telangana
504299,Dabba,Adilabad,Telangana
504206,Dandepalli,Adilabad,Telangana
504311,Dantanpalli,Adilabad,Telangana
504346,Dasnapur,Adilabad,Telangana
504002,Dasnapur Colony D.,Adilabad,Telangana
504001,Dasnapur Colony,Adilabad,Telangana
504202,Dasturabad,Adilabad,Telangana
504309,Deepaiguda,Adilabad,Telangana
504304,Dehgaon,Adilabad,Telangana
504273,Dehgaon,Adilabad,Telangana
504102,Dehgaon,Adilabad,Telangana
504294,Devaiguda,Adilabad,Telangana
504293,Devapur,Adilabad,Telangana
504308,Devapur,Adilabad,Telangana
504218,Devapur Cement Works,Adilabad,Telangana
504201,Dewalwada,Adilabad,Telangana
504311,Dhaba,Adilabad,Telangana
504313,Dhaboli,Adilabad,Telangana
504110,Dhani,Adilabad,Telangana
504304,Dhannoor,Adilabad,Telangana
504346,Dhanora(B),Adilabad,Telangana
504205,Dharmaram,Adilabad,Telangana
504231,Dharmaraopet,Adilabad,Telangana
504299,Dhorpalli,Adilabad,Telangana
504203,Dilawarpur,Adilabad,Telangana
504306,Dilawarpur,Adilabad,Telangana
504299,Dimda,Adilabad,Telangana
504310,Dimmadurthy,Adilabad,Telangana
504103,Doderna,Adilabad,Telangana
504207,Donabanda,Adilabad,Telangana
504215,Dowdepally,Adilabad,Telangana
504201,Dugnepally,Adilabad,Telangana
504206,Dwaraka,Adilabad,Telangana
504272,Dwarakapur,Adilabad,Telangana
504296,Easgaon - V,Adilabad,Telangana
504296,Easgaon Camp,Adilabad,Telangana
504307,Echoda,Adilabad,Telangana
504102,Elegaon,Adilabad,Telangana
504102,Elvi,Adilabad,Telangana
504209,Gadapur,Adilabad,Telangana
504104,Gadchanda,Adilabad,Telangana
504311,Gadiguda,Adilabad,Telangana
504001,Gandhi Chowk (Adilabad),Adilabad,Telangana
504292,Gangapur,Adilabad,Telangana
504304,Ghanpur,Adilabad,Telangana
504311,Ghanpur,Adilabad,Telangana
504309,Ghotkuri,Adilabad,Telangana
504297,Ginnedhari,Adilabad,Telangana
504346,Ginnera,Adilabad,Telangana
504307,Girjam,Adilabad,Telangana
504307,Girnoor,Adilabad,Telangana
504219,Girvelli,Adilabad,Telangana
504304,Gokonda,Adilabad,Telangana
504207,Gollakota,Adilabad,Telangana
504292,Golleti,Adilabad,Telangana
504312,Gonedhanora,Adilabad,Telangana
504110,Gopalpet,Adilabad,Telangana
504346,Gourapur,Adilabad,Telangana
504323,Gowliguda,Adilabad,Telangana
504293,Goyagaon,Adilabad,Telangana
504208,Grain Market (Adilabad),Adilabad,Telangana
504309,Guda,Adilabad,Telangana
504311,Gudamamda,Adilabad,Telangana
504215,Gudem,Adilabad,Telangana
504299,Gudem,Adilabad,Telangana
504308,Gudihatnoor,Adilabad,Telangana
504273,Gudipet,Adilabad,Telangana
504299,Gudlabori,Adilabad,Telangana
504109,Gulmadugu,Adilabad,Telangana
504309,Gumma (Adilabad),Adilabad,Telangana
504299,Gundaipet,Adilabad,Telangana
504306,Gundampalli,Adilabad,Telangana
504293,Gundi,Adilabad,Telangana
504311,Gunjala,Adilabad,Telangana
504251,Gurjal,Adilabad,Telangana
504308,Gurjamannur,Adilabad,Telangana
504299,Gurudpet,Adilabad,Telangana
504346,Harkapur,Adilabad,Telangana
504296,Harnath Colony,Adilabad,Telangana
504311,Hasnapur,Adilabad,Telangana
504273,Hathini,Adilabad,Telangana
504207,Hazipur,Adilabad,Telangana
504299,Hudkuli,Adilabad,Telangana
504205,Indanpally,Adilabad,Telangana
504216,Indaram,Adilabad,Telangana
504346,Indervelli,Adilabad,Telangana
504295,Indhani,Adilabad,Telangana
504106,Indiranagar (Adilabad),Adilabad,Telangana
504296,Industrial Area (Adilabad),Adilabad,Telangana
504215,Itikyal,Adilabad,Telangana
504273,Ityal,Adilabad,Telangana
504309,Jainad,Adilabad,Telangana
504313,Jainoor,Adilabad,Telangana
504216,Jaipur,Adilabad,Telangana
504251,Jajjarvelli,Adilabad,Telangana
504110,Jam,Adilabad,Telangana
504313,Jamni,Adilabad,Telangana
504251,Janakapur,Adilabad,Telangana
504207,Jandavenkatapur,Adilabad,Telangana
504214,Jangaon,Adilabad,Telangana
504205,Jannaram,Adilabad,Telangana
504304,Jatharla,Adilabad,Telangana
504102,Jawla,Adilabad,Telangana
504312,Jhary,Adilabad,Telangana
504219,Jilleda,Adilabad,Telangana
504105,Kadthal,Adilabad,Telangana
504205,Kalamadugu,Adilabad,Telangana
504109,Kallur,Adilabad,Telangana
504306,Kalwa,Adilabad,Telangana
504273,Kalwada,Adilabad,Telangana
504231,Kalyani Khani,Adilabad,Telangana
504310,Kamalkot,Adilabad,Telangana
504102,Kamole,Adilabad,Telangana
504002,Kampamediguda,Adilabad,Telangana
504313,Kanchanpalli,Adilabad,Telangana
504219,Kanchevelli,Adilabad,Telangana
504101,Kankapur,Adilabad,Telangana
504297,Kannepalli,Adilabad,Telangana
504219,Kannepalli,Adilabad,Telangana
504293,Kannergaon,Adilabad,Telangana
504312,Kapparla,Adilabad,Telangana
504312,Karanji,Adilabad,Telangana
504304,Karathwada,Adilabad,Telangana
504299,Karjavelli,Adilabad,Telangana
504273,Karjibheempur,Adilabad,Telangana
504207,Karnamamidi,Adilabad,Telangana
504106,Kasba (Adilabad),Adilabad,Telangana
504231,Kasipet,Adilabad,Telangana
504293,Kerameri,Adilabad,Telangana
504346,Keslapur,Adilabad,Telangana
504311,Khairdatwa,Adilabad,Telangana
504292,Khairgaon,Adilabad,Telangana
504295,Khamana,Adilabad,Telangana
504203,Khanapur (Adilabad),Adilabad,Telangana
504295,Khirdi,Adilabad,Telangana
504002,Khodad,Adilabad,Telangana
504309,Khogdur,Adilabad,Telangana
504101,Kirgul,Adilabad,Telangana
504204,Kistampet,Adilabad,Telangana
504216,Kistapur,Adilabad,Telangana
504205,Kistapur,Adilabad,Telangana
504307,Kokasmannur,Adilabad,Telangana
504308,Kolhari,Adilabad,Telangana
504201,Kollur,Adilabad,Telangana
504102,Kolur,Adilabad,Telangana
504201,Kommera,Adilabad,Telangana
504292,Kondampally,Adilabad,Telangana
504309,Koora,Adilabad,Telangana
504323,Koratkal,Adilabad,Telangana
504310,Kortakal,Adilabad,Telangana
504215,Korvichelma,Adilabad,Telangana
504312,Kosai R.S.,Adilabad,Telangana
504214,Kotapalli,Adilabad,Telangana
504103,Kothalgaon,Adilabad,Telangana
504311,Kothapalli,Adilabad,Telangana
504273,Kothmeer,Adilabad,Telangana
504304,Koutha (B),Adilabad,Telangana
504106,Koutla (K),Adilabad,Telangana
504110,Koutla,Adilabad,Telangana
504299,Kowthala,Adilabad,Telangana
504103,Kubeer,Adilabad,Telangana
504105,Kuchanpally,Adilabad,Telangana
504304,Kuchlapur,Adilabad,Telangana
504312,Kuchlapur,Adilabad,Telangana
504323,Kumhari,Adilabad,Telangana
504216,Kundaram,Adilabad,Telangana
504109,Kuntala,Adilabad,Telangana
504219,Kushnepalli,Adilabad,Telangana
504301,Kyathanpalli,Adilabad,Telangana
504214,Kyathanpally,Adilabad,Telangana
504309,Lachampur,Adilabad,Telangana
504311,Lakkaram,Adilabad,Telangana
504106,Laxmanchanda,Adilabad,Telangana
504207,Laxmipur,Adilabad,Telangana
504109,Limba (K),Adilabad,Telangana
504202,Lingapur,Adilabad,Telangana
504206,Lingapur,Adilabad,Telangana
504313,Lingapur,Adilabad,Telangana
504312,Lingi,Adilabad,Telangana
504104,Lohesra,Adilabad,Telangana
504299,Lonavelli,Adilabad,Telangana
504215,Luxettipet,Adilabad,Telangana
504296,M.G. Road,Adilabad,Telangana
504105,Madapur,Adilabad,Telangana
504220,Madaram Township,Adilabad,Telangana
504206,Madaripeta,Adilabad,Telangana
504204,Maddikal,Adilabad,Telangana
504202,Maddipadaga,Adilabad,Telangana
504103,Mahagaon,Adilabad,Telangana
504313,Mahagaon,Adilabad,Telangana
504103,Mahalingi,Adilabad,Telangana
504110,Malak Chincholi,Adilabad,Telangana
504103,Malegoan,Adilabad,Telangana
504214,Mallampet,Adilabad,Telangana
504106,Mallapur,Adilabad,Telangana
504273,Malledi,Adilabad,Telangana
504307,Malyal,Adilabad,Telangana
504310,Mamda,Adilabad,Telangana
504204,Mamidighat,Adilabad,Telangana
504206,Mamidipalli,Adilabad,Telangana
504313,Mamidipalli,Adilabad,Telangana
504208,Mancherial Bazar,Adilabad,Telangana
504209,Mancherial Cement Works,Adilabad,Telangana
504208,Mancherial,Adilabad,Telangana
504231,Mandamarri Colleries,Adilabad,Telangana
504231,Mandamarri R.S.,Adilabad,Telangana
504203,Mandapalli,Adilabad,Telangana
504297,Mangi,Adilabad,Telangana
504297,Manikyapur,Adilabad,Telangana
504106,Manjulapur,Adilabad,Telangana
504311,Mankapur,Adilabad,Telangana
504104,Manmad,Adilabad,Telangana
504304,Marlapally,Adilabad,Telangana
504313,Marlawai,Adilabad,Telangana
504299,Marthidi,Adilabad,Telangana
504002,Mavala,Adilabad,Telangana
504310,Medpalli,Adilabad,Telangana
504219,Metpalli,Adilabad,Telangana
504251,Metpally,Adilabad,Telangana
504216,Mittapalli Jagir,Adilabad,Telangana
504215,Modela,Adilabad,Telangana
504293,Modi,Adilabad,Telangana
504299,Mogardhagar,Adilabad,Telangana
504297,Moindagudipet,Adilabad,Telangana
504299,Moogavelli,Adilabad,Telangana
504296,Mosam,Adilabad,Telangana
504293,Movad,Adilabad,Telangana
504102,Mudhole,Adilabad,Telangana
504306,Mujgi,Adilabad,Telangana
